id,peer,task,date
0,quas,s21_SimpleBashUtils,2022-08-11
1,exort,s21_SimpleBashUtils,2022-08-12
2,wex,s21_SimpleBashUtils,2022-08-12
3,dhammer,s21_SimpleBashUtils,2022-08-12
4,mcarb,s21_SimpleBashUtils,2022-08-12
5,bajaj,s21_SimpleBashUtils,2022-08-12
6,wloyd,s21_SimpleBashUtils,2022-08-12
7,exort,s21_decimal,2022-08-20
8,exort,s21_matrix,2022-08-29
9,exort,A_Maze,2022-09-05
10,exort,A_SimpleNavigator,2022-09-15
11,exort,s21_math,2022-09-18
12,exort,s21_string+,2022-09-20
13,exort,s21_SmartCalc_v1.0,2022-09-22
14,bajaj,s21_SimpleBashUtils,2022-08-20
15,exort,A_Parallels,2022-09-28
16,wex,s21_decimal,2022-09-12